Customer ID,Stock Ticker,Number of Shares,Purchase Price,Purchase Date
CID000001,NVDA,57,199.74,2025-03-07
CID000002,NVDA,45,444.34,2024-12-09
CID000002,GOOGL,31,337.56,2024-04-05
CID000002,JPM,48,136.52,2023-01-08
CID000002,TSLA,14,61.95,2021-11-26
CID000002,MSFT,22,361.58,2020-05-21
CID000003,NVDA,49,217.37,2021-07-24
CID000003,GOOGL,29,232.33,2021-05-31
CID000003,AMZN,62,360.46,2024-08-12
CID000003,MSFT,33,144.19,2021-04-09
CID000004,V,96,116.39,2024-02-17
CID000004,AMZN,22,208.65,2024-03-24
CID000004,MSFT,42,272.27,2024-06-26
CID000004,NVDA,40,360.44,2021-01-15
CID000005,NVDA,31,264.16,2024-10-13
CID000005,V,70,441.48,2021-01-17
CID000005,META,57,495.99,2025-03-21
CID000005,AAPL,55,100.02,2023-10-06
CID000006,META,21,412.05,2022-06-10
CID000006,V,87,284.36,2020-06-26
CID000006,JPM,98,349.46,2022-08-31
CID000007,AMZN,29,70.87,2022-09-13
CID000007,JPM,26,149.9,2021-02-19
CID000007,MSFT,62,231.02,2021-03-06
CID000007,UNH,55,364.35,2023-04-12
CID000007,NVDA,92,229.34,2023-06-06
CID000008,GOOGL,17,349.06,2024-07-23
CID000008,JPM,63,442.72,2024-09-17
CID000008,V,76,493.41,2021-09-01
CID000008,NVDA,78,240.58,2022-08-05
CID000009,TSLA,52,124.38,2024-06-04
CID000009,NVDA,80,230.22,2021-04-25
CID000009,UNH,27,226.04,2024-01-06
CID000010,TSLA,7,442.94,2021-08-12
CID000011,GOOGL,11,207.52,2022-11-22
CID000011,AAPL,28,63.69,2020-08-05
CID000011,NVDA,18,103.32,2022-03-15
CID000011,UNH,6,424.84,2023-08-08
CID000011,AMZN,75,62.8,2020-06-09
CID000012,MSFT,32,99.87,2021-03-24
CID000012,META,67,114.68,2020-12-23
CID000013,JPM,34,432.54,2021-06-14
CID000013,GOOGL,89,146.24,2024-11-08
CID000013,AAPL,32,208.5,2022-08-12
CID000014,JPM,21,232.75,2022-01-05
CID000014,V,21,406.24,2020-03-30
CID000014,NVDA,22,300.73,2020-12-19
CID000014,AMZN,41,192.54,2025-01-17
CID000014,MSFT,68,278.28,2020-09-12
CID000015,UNH,45,350.82,2022-03-24
CID000015,AAPL,36,499.64,2021-08-26
CID000015,GOOGL,88,144.6,2021-05-17
CID000015,AMZN,8,416.45,2024-06-29
CID000015,MSFT,1,146.19,2021-03-23
CID000016,UNH,97,154.87,2020-10-17
CID000016,AMZN,40,499.76,2020-07-05
CID000017,TSLA,82,259.42,2023-02-09
CID000018,META,63,365.39,2020-09-05
CID000018,TSLA,38,313.66,2020-08-22
CID000018,JPM,97,325.68,2020-09-26
CID000019,GOOGL,55,256.92,2021-12-19
CID000019,NVDA,19,248.19,2021-08-17
CID000020,META,88,247.52,2022-11-19
CID000020,JPM,15,103.12,2023-12-03
CID000021,TSLA,40,306.15,2023-10-26
CID000022,GOOGL,5,146.93,2020-12-27
CID000022,MSFT,61,279.45,2021-04-01
CID000022,TSLA,72,485.22,2024-06-07
CID000022,JPM,100,494.49,2022-10-02
CID000023,AAPL,87,185.63,2024-08-05
CID000024,AMZN,21,465.19,2020-04-08
CID000024,V,45,229.42,2021-02-17
CID000025,V,22,483.48,2022-05-27
CID000025,NVDA,75,452.83,2020-07-02
CID000025,TSLA,33,380.75,2022-12-29
CID000025,JPM,30,284.68,2020-08-21
CID000025,META,1,458.92,2024-03-02
CID000026,JPM,48,323.17,2024-01-13
CID000026,GOOGL,48,66.5,2021-01-06
CID000027,META,37,294.1,2021-08-01
CID000027,GOOGL,78,236.21,2025-01-24
CID000027,NVDA,25,367.58,2020-08-08
CID000027,JPM,81,324.67,2021-01-02
CID000028,TSLA,75,70.87,2022-12-17
CID000028,AMZN,77,62.69,2022-05-08
CID000029,TSLA,21,274.69,2020-07-17
CID000029,NVDA,26,429.93,2024-02-22
CID000030,GOOGL,15,262.86,2023-03-25
CID000030,NVDA,66,469.99,2022-02-10
CID000030,META,89,272.9,2025-01-10
CID000030,MSFT,52,173.42,2024-08-04
CID000030,TSLA,50,377.26,2021-12-26
CID000031,AMZN,17,341.94,2021-08-13
CID000032,MSFT,45,436.88,2021-05-06
CID000032,GOOGL,24,63.62,2025-03-19
CID000032,NVDA,21,332.46,2021-07-15
CID000032,AAPL,16,142.58,2023-08-03
CID000032,UNH,97,436.76,2024-07-28
CID000033,TSLA,10,105.55,2022-03-25
CID000033,META,85,143.3,2024-11-27
CID000033,V,68,96.1,2023-02-13
CID000033,GOOGL,96,491.52,2022-11-23
CID000034,GOOGL,96,132.29,2024-11-29
CID000034,JPM,59,175.22,2024-02-27
CID000034,META,58,284.47,2021-07-28
CID000034,AAPL,42,295.67,2020-06-04
CID000035,GOOGL,12,63.5,2024-04-25
CID000035,MSFT,10,110.9,2023-09-28
CID000036,GOOGL,64,445.99,2022-06-04
CID000036,AAPL,63,169.43,2022-01-02
CID000037,AAPL,91,92.89,2023-08-04
CID000037,UNH,36,393.67,2021-08-20
CID000037,MSFT,73,400.41,2023-10-05
CID000038,META,56,297.2,2024-09-03
CID000038,TSLA,98,391.45,2021-11-13
CID000038,GOOGL,14,141.18,2023-04-12
CID000039,V,86,480.86,2024-12-08
CID000039,AAPL,68,175.76,2023-04-17
CID000039,AMZN,71,338.75,2023-03-27
CID000040,AAPL,24,239.61,2024-10-15
CID000041,JPM,44,467.02,2022-02-21
CID000041,MSFT,84,190.02,2025-03-12
CID000041,V,89,52.64,2024-03-11
CID000041,UNH,89,213.16,2022-12-15
CID000042,GOOGL,72,327.02,2023-05-06
CID000042,JPM,40,270.65,2020-03-30
CID000042,NVDA,42,463.12,2024-04-24
CID000043,MSFT,85,119.07,2024-12-02
CID000043,UNH,12,263.12,2020-10-05
CID000043,META,30,254.79,2024-11-18
CID000043,NVDA,84,192.45,2025-03-09
CID000044,AMZN,65,245.49,2024-03-13
CID000044,META,44,366.39,2024-02-27
CID000044,AAPL,35,274.44,2020-06-26
CID000044,UNH,40,405.49,2023-02-06
CID000045,GOOGL,79,409.13,2020-08-06
CID000045,NVDA,52,105.5,2020-06-23
CID000045,TSLA,24,263.88,2023-02-17
CID000046,META,11,64.01,2024-02-08
CID000046,AAPL,21,306.32,2024-08-24
CID000046,TSLA,82,79.07,2023-02-14
CID000046,MSFT,52,287.21,2020-04-23
CID000046,AMZN,52,84.34,2023-12-09
CID000047,GOOGL,73,127.54,2023-09-29
CID000047,TSLA,82,111.06,2025-02-04
CID000047,V,12,401.33,2021-09-10
CID000048,META,57,223.59,2021-09-19
CID000049,META,8,199.86,2021-01-13
CID000049,V,73,158.51,2020-10-13
CID000049,JPM,33,131.58,2023-03-10
CID000049,UNH,16,390.94,2025-01-25
CID000050,V,60,285.07,2021-01-22
CID000050,GOOGL,52,452.15,2024-09-08
CID000050,TSLA,30,79.94,2020-06-24
CID000051,GOOGL,67,345.74,2024-09-13
CID000051,JPM,9,429.4,2022-01-18
CID000051,NVDA,85,460.76,2020-07-11
CID000051,TSLA,74,54.46,2024-08-31
CID000052,NVDA,34,413.75,2022-01-14
CID000052,GOOGL,3,428.9,2021-02-20
CID000052,TSLA,51,293.86,2021-08-24
CID000052,V,40,179.12,2020-09-25
CID000052,AMZN,88,428.27,2020-06-02
CID000053,GOOGL,51,147.15,2021-08-19
CID000054,JPM,91,387.5,2023-08-06
CID000054,UNH,22,495.9,2024-10-07
CID000054,AMZN,60,451.13,2020-08-16
CID000054,AAPL,99,233.29,2020-08-04
CID000055,MSFT,79,293.76,2022-07-11
CID000055,AAPL,33,115.24,2023-02-19
CID000055,GOOGL,74,321.7,2022-11-28
CID000055,JPM,98,494.56,2021-04-05
CID000055,V,58,162.77,2023-07-10
CID000056,MSFT,1,498.35,2024-10-01
CID000057,AAPL,67,287.72,2022-02-11
CID000057,MSFT,45,280.07,2024-04-14
CID000057,AMZN,3,87.77,2023-03-14
CID000058,META,25,191.17,2024-05-07
CID000058,AAPL,49,167.05,2022-05-17
CID000059,AMZN,45,154.09,2024-04-29
CID000059,META,51,427.44,2023-09-04
CID000059,MSFT,94,408.21,2022-09-06
CID000059,TSLA,31,393.71,2022-08-08
CID000059,NVDA,6,461.94,2021-01-10
CID000060,META,59,158.85,2021-11-17
CID000060,V,26,79.95,2022-12-04
CID000060,TSLA,52,375.04,2021-09-14
CID000060,UNH,15,439.61,2024-11-13
CID000061,MSFT,95,432.82,2023-12-19
CID000061,V,25,72.93,2022-08-31
CID000061,NVDA,6,234.03,2021-06-18
CID000062,MSFT,26,199.69,2023-04-14
CID000062,UNH,95,73.49,2022-03-02
CID000062,JPM,50,429.28,2024-01-20
CID000062,GOOGL,21,330.43,2024-10-21
CID000062,AAPL,88,190.39,2021-09-29
CID000063,TSLA,51,120.11,2024-06-18
CID000063,UNH,79,484.0,2022-08-20
CID000063,META,29,169.2,2023-06-11
CID000063,GOOGL,77,499.2,2022-07-17
CID000063,AAPL,64,185.47,2020-07-31
CID000064,MSFT,82,454.55,2022-09-21
CID000064,META,33,93.93,2022-03-11
CID000064,NVDA,45,392.49,2021-12-24
CID000064,UNH,89,306.73,2021-03-18
CID000064,GOOGL,97,339.71,2023-04-17
CID000065,GOOGL,13,181.75,2021-02-28
CID000066,V,41,493.34,2021-09-04
CID000066,JPM,7,54.49,2021-11-25
CID000066,AAPL,48,324.21,2024-01-03
CID000066,TSLA,92,442.83,2024-03-05
CID000066,META,12,431.54,2023-11-12
CID000067,GOOGL,97,283.89,2022-09-06
CID000067,AMZN,99,154.82,2022-05-03
CID000067,MSFT,72,457.38,2020-10-14
CID000068,META,64,322.0,2023-06-14
CID000069,META,85,266.98,2024-04-16
CID000069,V,37,163.36,2024-07-10
CID000069,MSFT,5,360.89,2020-10-15
CID000070,JPM,79,385.99,2020-07-04
CID000070,AAPL,35,294.23,2023-05-07
CID000070,AMZN,26,277.63,2023-03-09
CID000070,META,3,250.22,2024-02-14
CID000071,NVDA,70,451.45,2020-12-15
CID000071,V,79,459.17,2023-11-13
CID000072,JPM,16,438.27,2023-03-31
CID000072,AAPL,35,366.99,2020-11-08
CID000073,AAPL,12,148.99,2022-02-05
CID000073,MSFT,30,277.91,2022-06-25
CID000073,V,31,194.07,2022-05-03
CID000073,UNH,30,417.66,2021-02-02
CID000073,META,24,330.27,2020-06-03
CID000074,JPM,12,141.04,2025-01-08
CID000074,META,91,64.33,2024-02-21
CID000074,UNH,15,172.69,2021-01-25
CID000074,AMZN,24,73.72,2023-09-17
CID000074,AAPL,70,397.66,2022-01-25
CID000075,MSFT,82,156.1,2020-12-18
CID000075,AAPL,11,393.72,2023-12-19
CID000075,AMZN,9,214.6,2022-03-07
CID000076,UNH,35,456.38,2023-05-27
CID000076,V,50,386.64,2023-08-08
CID000077,JPM,90,388.5,2024-03-10
CID000078,GOOGL,54,300.63,2023-03-05
CID000079,TSLA,58,411.48,2024-12-26
CID000079,GOOGL,42,478.51,2022-04-25
CID000079,MSFT,17,280.14,2024-07-10
CID000080,UNH,70,119.17,2024-04-06
CID000080,MSFT,40,217.11,2021-03-24
CID000081,META,33,308.34,2021-02-27
CID000081,GOOGL,24,91.51,2023-05-26
CID000081,AAPL,100,289.12,2023-02-25
CID000081,AMZN,16,490.67,2024-01-04
CID000081,TSLA,42,141.71,2020-10-22
CID000082,META,27,60.26,2024-07-27
CID000082,GOOGL,87,283.82,2022-02-04
CID000082,MSFT,15,423.46,2022-02-14
CID000083,UNH,8,434.81,2023-05-22
CID000083,AMZN,88,282.43,2021-02-01
CID000084,AMZN,39,373.74,2023-09-13
CID000084,META,75,438.29,2023-02-20
CID000085,V,90,65.44,2024-05-16
CID000085,AMZN,85,466.58,2023-07-19
CID000085,META,7,328.27,2022-03-31
CID000085,AAPL,69,322.09,2024-11-27
CID000086,NVDA,3,226.63,2020-12-14
CID000086,GOOGL,97,454.11,2021-09-08
CID000086,TSLA,41,156.62,2022-02-28
CID000086,UNH,87,339.47,2024-04-08
CID000087,NVDA,13,300.14,2024-02-05
CID000087,TSLA,6,244.34,2020-09-19
CID000087,UNH,53,231.99,2022-11-17
CID000088,META,88,453.18,2021-10-20
CID000089,NVDA,47,376.68,2021-02-12
CID000089,GOOGL,61,454.76,2022-01-07
CID000090,GOOGL,24,211.16,2021-08-27
CID000091,NVDA,10,308.53,2024-01-13
CID000092,AAPL,16,144.78,2021-05-21
CID000093,UNH,81,383.12,2023-05-21
CID000093,TSLA,55,327.98,2024-03-10
CID000093,META,92,170.26,2022-02-10
CID000093,NVDA,43,150.63,2021-05-02
CID000093,AMZN,59,396.62,2020-06-30
CID000094,V,61,351.22,2022-05-21
CID000094,UNH,44,312.54,2022-05-12
CID000095,UNH,31,349.63,2021-09-28
CID000095,TSLA,82,444.34,2023-09-02
CID000096,AAPL,87,123.19,2022-07-07
CID000096,GOOGL,77,299.27,2023-02-02
CID000096,META,4,163.01,2020-04-10
CID000097,UNH,6,468.45,2020-11-01
CID000098,NVDA,54,270.3,2022-08-18
CID000098,JPM,19,304.87,2021-05-12
CID000099,TSLA,37,430.09,2022-12-07
CID000099,MSFT,30,103.92,2020-05-04
CID000100,V,67,391.2,2022-03-13
CID000100,TSLA,7,363.36,2023-05-05
CID000100,GOOGL,51,446.68,2023-11-03
CID000100,JPM,20,429.38,2024-11-07
CID000100,NVDA,55,431.76,2022-03-18
